-- v TEXTURE
140.08, 17.10, 138.89, 16.10, 137.38, 15.60, 135.55, 15.60
135.55, 15.60, 133.32, 15.60, 131.63, 16.19, 130.48, 17.38
130.48, 17.38, 129.33, 18.56, 128.72, 20.47, 128.65, 23.10
128.65, 23.10, 128.65, 23.10, 124.25, 23.10, 124.25, 23.10
124.25, 23.10, 124.32, 19.37, 125.33, 16.54, 127.30, 14.63
127.30, 14.63, 129.27, 12.71, 132.02, 11.75, 135.55, 11.75
135.55, 11.75, 138.72, 11.75, 141.30, 12.55, 143.30, 14.15
143.30, 14.15, 145.30, 15.75, 146.30, 18.17, 146.30, 21.40
146.30, 21.40, 146.30, 23.10, 145.89, 24.61, 145.08, 25.92
145.08, 25.92, 144.26, 27.24, 143.00, 28.22, 141.30, 28.85
141.30, 28.85, 143.40, 29.55, 144.93, 30.62, 145.90, 32.05
145.90, 32.05, 146.87, 33.48, 147.35, 35.30, 147.35, 37.50
147.35, 37.50, 147.35, 39.77, 146.84, 41.72, 145.83, 43.35
145.83, 43.35, 144.81, 44.98, 143.41, 46.23, 141.63, 47.10
141.63, 47.10, 139.84, 47.97, 137.77, 48.40, 135.40, 48.40
135.40, 48.40, 127.87, 48.40, 123.90, 44.63, 123.50, 37.10
123.50, 37.10, 123.50, 37.10, 127.95, 37.10, 127.95, 37.10
127.95, 37.10, 128.08, 39.53, 128.75, 41.38, 129.95, 42.65
129.95, 42.65, 131.15, 43.92, 133.02, 44.55, 135.55, 44.55
135.55, 44.55, 138.12, 44.55, 139.98, 43.86, 141.15, 42.48
141.15, 42.48, 142.32, 41.09, 142.90, 39.45, 142.90, 37.55
142.90, 37.55, 142.90, 33.15, 140.45, 30.95, 135.55, 30.95
-- 4 TEXTURE
169.20, 47.50, 169.20, 47.50, 169.20, 38.60, 169.20, 38.60
169.20, 38.60, 169.20, 38.60, 154.10, 38.60, 154.10, 38.60
154.10, 38.60, 154.10, 38.60, 154.10, 34.10, 154.10, 34.10
154.10, 34.10, 154.10, 34.10, 169.60, 12.25, 169.60, 12.25
169.60, 12.25, 169.60, 12.25, 173.45, 12.25, 173.45, 12.25
173.45, 12.25, 173.45, 12.25, 173.45, 34.80, 173.45, 34.80
173.45, 34.80, 173.45, 34.80, 178.70, 34.80, 178.70, 34.80
178.70, 34.80, 178.70, 34.80, 178.70, 38.60, 178.70, 38.60
178.70, 38.60, 178.70, 38.60, 173.45, 38.60, 173.45, 38.60
173.45, 38.60, 173.45, 38.60, 173.45, 47.50, 173.45, 47.50
173.45, 47.50, 173.45, 47.50, 169.20, 47.50, 169.20, 47.50
157.75, 34.80, 157.75, 34.80, 169.20, 34.80, 169.20, 34.80
169.20, 34.80, 169.20, 34.80, 169.20, 18.60, 169.20, 18.60
169.20, 18.60, 169.20, 18.60, 157.75, 34.80, 157.75, 34.80
-- 5 TEXTURE
188.80, 12.55, 188.80, 12.55, 207.10, 12.55, 207.10, 12.55
207.10, 12.55, 207.10, 12.55, 207.10, 16.40, 207.10, 16.40
207.10, 16.40, 207.10, 16.40, 192.40, 16.40, 192.40, 16.40
192.40, 16.40, 192.40, 16.40, 190.95, 26.60, 190.95, 26.60
190.95, 26.60, 191.92, 25.73, 192.98, 25.13, 194.15, 24.80
194.15, 24.80, 195.32, 24.47, 196.50, 24.30, 197.70, 24.30
197.70, 24.30, 199.80, 24.30, 201.70, 24.77, 203.40, 25.72
